rvote	stt	eth	inc	age	sex	edu	mar	kid
0	10	1	2	3	2	2	1	2
1	44	1	4	2	1	5	1	2
1	6	1	4	2	2	4	1	1
0	30	1	2	1	2	3	2	1
NA	38	1	3	3	2	4	1	2
0	23	3	2	1	1	2	2	1
NA	39	1	2	1	2	2	2	1
1	34	1	3	1	2	1	1	1
0	37	1	2	1	1	2	2	2
1	44	1	5	2	1	2	1	1
1	5	1	3	2	2	1	1	1
1	24	1	3	2	2	5	1	1
0	44	1	3	4	2	2	1	2
0	42	1	4	3	1	3	1	1
1	48	1	3	2	1	3	1	1
1	23	1	4	3	1	4	1	2
NA	47	2	1	3	2	2	1	1
0	10	4	NA	2	2	3	2	1
0	22	1	3	2	2	3	2	1
1	50	1	2	1	2	2	2	1
1	50	1	4	1	1	5	2	2
0	25	2	2	3	1	1	1	1
0	5	3	1	2	2	1	1	1
1	23	1	4	1	1	3	1	1
NA	10	1	NA	3	2	5	1	2
1	45	4	2	1	1	3	2	1
1	5	1	4	3	1	4	1	2
1	34	1	5	2	1	5	1	1
0	39	1	1	4	2	2	1	2
1	50	1	3	2	2	2	1	2
0	49	1	2	2	2	2	1	1
0	36	1	2	2	2	5	1	1
1	31	1	5	3	2	5	2	2
NA	43	1	1	4	2	2	2	2
1	11	1	3	2	2	5	1	1
1	42	4	3	3	2	4	1	1
0	39	1	3	1	1	5	2	2
0	23	1	4	3	2	5	1	2
NA	39	1	2	4	2	3	1	2
1	5	1	1	3	1	3	2	2
0	34	2	3	2	1	4	1	NA
1	47	1	3	4	1	3	1	2
1	47	1	3	1	2	3	1	1
1	10	1	2	4	1	5	1	2
0	10	1	1	1	2	2	2	1
1	31	1	4	2	1	4	1	2
1	1	1	2	1	1	3	2	2
1	38	1	3	3	1	5	1	1
1	8	1	3	3	2	2	2	2
NA	43	1	2	2	1	2	2	1
1	43	1	3	2	1	3	1	1
1	3	1	4	3	1	2	2	2
1	14	3	NA	1	1	2	2	2
1	11	1	1	3	1	1	1	1
NA	17	1	NA	1	1	2	1	1
1	4	1	2	1	1	3	2	2
0	5	1	3	1	1	4	2	2
NA	36	1	2	2	1	2	2	1
0	47	1	NA	3	1	3	1	1
0	15	1	3	3	2	2	1	1
1	17	4	3	1	1	4	1	2
0	48	1	NA	3	2	2	1	2
1	5	1	5	2	1	2	2	2
0	7	1	5	1	2	4	2	2
NA	21	3	2	3	2	1	1	1
NA	21	2	1	2	2	1	2	1
1	28	1	4	3	2	3	1	2
0	5	NA	NA	3	1	3	1	1
NA	11	1	5	1	1	5	2	2
0	23	1	1	NA	2	2	2	2
1	50	1	1	1	1	3	2	2
0	14	2	3	1	1	2	2	1
1	43	4	3	2	1	3	1	1
1	22	1	2	2	2	2	2	2
0	28	1	3	2	1	3	2	2
1	43	1	3	2	1	4	1	2
1	36	1	4	3	1	3	1	2
1	44	1	3	3	1	3	2	2
1	37	1	3	2	2	3	2	1
NA	48	1	NA	2	1	2	1	1
1	18	1	3	1	2	2	2	1
1	33	1	1	4	2	1	2	2
0	14	1	1	3	2	2	2	2
0	5	1	4	3	1	5	1	2
1	30	1	4	3	2	4	1	1
1	30	1	1	3	1	4	1	2
NA	51	3	1	2	2	2	2	2
1	38	1	3	3	1	3	1	2
0	23	4	4	2	2	4	2	1
1	18	1	3	4	2	4	1	2
0	33	1	2	3	2	3	1	2
1	1	1	3	2	1	5	1	1
0	16	1	1	4	2	2	2	2
1	45	3	2	1	2	3	1	1
0	24	1	4	3	2	5	2	2
1	31	1	5	1	1	4	2	2
1	31	1	5	1	1	1	2	1
0	31	3	3	2	2	5	1	2
0	9	2	2	4	1	1	2	2
1	9	2	3	2	2	5	1	1
0	7	1	1	NA	2	2	2	2
0	7	2	2	2	2	2	2	1
1	1	1	2	2	1	2	2	2
1	1	1	3	3	2	1	1	2
0	1	1	1	2	2	2	2	1
1	1	1	3	1	1	4	1	2
1	1	1	4	3	2	3	1	2
1	1	1	1	1	1	3	2	1
0	1	1	1	4	1	1	1	2
0	1	1	2	4	1	1	1	2
NA	1	1	1	2	1	4	2	2
1	1	1	5	4	2	3	1	2
1	1	3	NA	4	2	3	2	2
0	48	1	5	3	2	5	1	1
1	48	3	4	3	1	4	1	2
0	48	1	2	4	2	2	1	2
0	20	1	4	3	1	5	1	1
1	20	1	2	2	2	2	1	1
1	20	1	2	1	1	2	2	1
0	20	1	3	2	1	2	2	1
0	20	1	2	3	2	5	2	1
1	20	1	1	2	1	2	2	1
0	20	1	2	2	2	3	1	1
NA	20	1	3	2	1	3	1	1
0	20	1	3	2	1	2	1	1
NA	20	1	2	4	2	2	1	2
0	20	1	5	NA	2	5	1	1
1	13	1	3	4	1	3	1	2
1	13	1	5	2	2	5	2	1
1	13	4	2	4	1	3	1	2
0	5	1	4	3	1	5	1	2
0	5	1	NA	1	1	2	2	2
1	44	1	3	3	1	3	2	2
1	44	1	3	1	2	2	1	1
0	44	1	2	2	2	2	2	2
0	33	1	4	2	1	5	2	2
1	33	1	3	1	2	4	2	2
